Model,GDT_TS,GDT_HA,Z_GDT_TS,Z_GDT_HA,LLG_Original_deltaLLG,LLG_B_from_rms_deltaLLG,LLG_const_B_deltaLLG,Z_LLG_Original_deltaLLG,Z_LLG_B_from_rms_deltaLLG,Z_LLG_const_B_deltaLLG
R1049TS473_5,71.27,50.93,0.4566367059809949,0.4206521121538493,9.140292385042429,6.755755132760928,9.529030636371404,0.04883313650925138,-0.0458863645111692,0.05544498617113384
R1052-D2TS003_1,52.82,32.75,0.0,0.0,73.69180138345655,71.26995125624308,65.95121388330335,-0.27868852317047593,-0.2343443254332037,-0.276010111554381
R1052-D2TS003_2,53.05,33.45,0.0,0.0,58.7841849297929,0.15486023366611334,51.17080329043165,-0.29397821194158474,-0.30304527631474465,-0.29126453276102554
R1052-D2TS013_1,74.53,54.46,0.1515664855534753,0.1421256631440836,636.5873848201954,952.3564544809469,620.6359437961528,0.29863370054855226,0.6168319820148465,0.29646346445474736
R1052-D2TS013_2,71.36,51.05,0.0,0.0,643.2484176059788,792.4461012703305,630.5735381482955,0.30546545118456697,0.46235009689872264,0.30671975937130846
R1052-D2TS013_3,69.25,48.83,0.0,0.0,457.8499294183639,540.6629629956551,447.8434079275994,0.1153153227697667,0.21911422717428997,0.11812943868861846
R1052-D2TS013_4,73.71,53.17,0.014542433953580134,0.0,670.4458092706009,948.8262825893871,656.1110266388678,0.3333598939501525,0.6134216486771804,0.3330762400351747
R1052-D2TS013_5,71.01,50.7,0.0,0.0,615.1846988108882,791.1000679515528,602.2339921875464,0.2766824778990286,0.4610497573000725,0.2774713587146434
R1052-D2TS018_1,76.29,55.63,0.4456668889873948,0.3296483683408929,630.6198983756185,773.554725706319,615.5210018557518,0.2925132713862519,0.4441000258372111,0.291184485341404
R1052-D2TS018_2,76.53,56.1,0.4857714894556556,0.40497800205243134,657.3713797072614,845.4153124497152,643.0933395692573,0.31995037543291716,0.5135211651367368,0.3196410732346057
R1052-D2TS018_3,76.53,55.63,0.4857714894556556,0.3296483683408929,659.7638377810654,828.864926824539,644.7462398778389,0.3224041506195868,0.49753261455547104,0.32134698237435966
R1052-D2TS018_4,77.35,57.16,0.6227955410555484,0.5748703674444113,644.9933336895701,787.9852088161988,630.7603482849318,0.307255088309505,0.45804063811898427,0.3069125605449981
R1052-D2TS018_5,76.88,56.22,0.5442573651385362,0.4242111000213344,615.8882252477761,787.7155158079731,599.8600581316314,0.27740403525165414,0.4577801003646935,0.2750212921364395
R1052-D2TS070_1,79.34,60.45,0.9553295199382194,1.1021778034251828,1191.5107749796662,1032.9469552871578,1179.233433207526,0.8677794089667323,0.6946866814575928,0.8729752829129432
R1052-D2TS070_2,78.17,59.39,0.7598195926554435,0.932285438033202,1117.5059014675935,1088.610041078562,1106.350411835454,0.7918778396540344,0.7484601754921603,0.7977548890113925
R1052-D2TS070_3,79.81,60.45,1.0338676958552315,1.1021778034251828,1210.431112426084,1045.3884012282979,1197.9329642696412,0.8871846621069142,0.7067057783076025,0.8922745115369307
R1052-D2TS070_4,76.17,56.81,0.4256145887532633,0.5187738317017772,844.5013663362188,735.593416613945,835.6936134400203,0.5118763794451393,0.40742738724737615,0.5184180749747774
R1052-D2TS070_5,79.46,60.09,0.9753818201723484,1.0444785095184723,1212.132302530743,1049.3519524169951,1199.8231407815965,0.8889294525850951,0.710534779038892,0.8942253063735897
R1052-D2TS071_1,77.0,56.34,0.5643096653726678,0.44344419799023865,931.3136595918859,1069.6458399133862,919.0581888143879,0.6009136141708274,0.7301397510362204,0.6044561683337654
R1052-D2TS071_2,73.24,51.64,0.0,0.0,550.0731554820759,642.9672239121246,541.0600339102639,0.2099021689208318,0.31794557088955583,0.2143355398159846
R1052-D2TS071_3,70.54,48.95,0.0,0.0,398.05082181747275,457.40449866057133,388.8064504070953,0.05398360372201932,0.13868213341600164,0.057199154572500674
R1052-D2TS071_4,75.23,53.28,0.2685382369192389,0.0,691.6965487377256,737.9179148581061,681.592633367778,0.3551552757684448,0.40967297587561313,0.35937504679852206
R1052-D2TS071_5,77.0,56.69,0.5643096653726678,0.4995407337328729,936.3892999453965,1077.0895456037724,923.9042248714377,0.6061193398185507,0.7373307656529283,0.6094576177002989
R1052-D2TS075_1,78.05,57.98,0.739767292421312,0.7062965368985853,1059.813437763758,1061.7287914321387,1052.2749954748997,0.7327067563885162,0.7224914621707208,0.7419452636355995
R1052-D2TS075_2,78.05,57.75,0.739767292421312,0.6694330991248539,1057.5869630170346,1058.0468935402787,1049.7343976848242,0.7304232185714584,0.7189345534670644,0.7393231883851885
R1052-D2TS075_3,78.05,57.63,0.739767292421312,0.650200001155951,1053.488004754172,1051.926171955707,1045.9005644692243,0.7262192067282686,0.7130216116864267,0.7353664034001359
R1052-D2TS075_4,77.82,57.4,0.7013337169725605,0.6133365633822186,1044.0143256038482,1043.6687673531596,1036.6288969775069,0.7165027234677809,0.7050445207504323,0.7257973917466423
R1052-D2TS075_5,77.82,57.51,0.7013337169725605,0.6309669031870467,1040.5672219617772,1046.3555813000658,1033.2857118296834,0.7129672728467618,0.7076401255698881,0.7223469900073771
R1052-D2TS081_1,74.3,54.23,0.1131329101047239,0.10526222537035126,511.6225754627885,320.3392412932917,500.4322232431841,0.17046612605034053,0.006269822912654646,0.17240478743767548
R1052-D2TS081_2,74.65,54.93,0.17161878578760684,0.21745529685562207,471.36450032590074,690.060744151695,452.1394457821534,0.12917626316178615,0.3634404099496709,0.12256325130439666
R1052-D2TS081_3,74.06,54.23,0.07302830963646313,0.10526222537035126,481.4099305158961,559.701876088262,472.5755870397552,0.1394791510616948,0.2375068273159092,0.14365478354723507
R1052-D2TS081_4,74.18,54.46,0.09308060987059467,0.1421256631440836,471.9089751542342,582.020827280925,456.5848945216512,0.12973469251867212,0.25906811828195553,0.1271512664409688
R1052-D2TS081_5,74.3,54.58,0.1131329101047239,0.16135876111298667,464.01313335532177,7.300497343112511,461.5398028929394,0.1216364855339053,-0.2961422117610124,0.13226507967782244
